,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014定,2013定,2012定,2011定,2010定,2009定,2008定,2007定,2006定,2005定,2004定,2003定,2002定,2001定,2000定,1999定,1998定,1997定,1996定,1995定,1994定,1993定,1992定,1991定,1990定,1989定,1988定,1987定,1986定,1985定,1984定,1983定,1982定,1981定,1980定,1979定,1978定,1977定,1976定,1975定,1974定,1973定,1972定,1971定,1970定,1969定,1968定,1967定,1966定,1965定,1964定,1963定,1962定,1961定,1960定,1959定,1958定,1957定,1956定,1955定,1954定,1953定,1952定,1951定,1950定,1949定
,634043.4,583196.7,532872.1,479576.1,407137.8,345046.4,318736.7,268631,217246.6,184575.8,160289.7,135718.9,119765,108683.4,98562.2,88989.8,83505.7,78517.3,70538.3,60146.5,48370.3,35450.4,27082,21940.2,18824.8,17098.9,15095.1,12094.2,10308,9064.6,7262,5998.5,5340.2,4896,4551.6,4067.7,3650.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
